sample_id,parameter,parameter_raw,value,unit,uncertainty,below_limit,loq,analysis_type
p02-Bunnrensk-Høviktoppen-c-05m,Alifater_C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Alifater_C12-C16,Alifater >C12-C16,5.0,mg/kg,,True,5.0,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Alifater_C16-C35,Alifater >C16-C35,40.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Alifater_C5-C6,Alifater >C5-C6,2.5,mg/kg,,True,2.5,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Alifater_C6-C8,Alifater >C6-C8,2.0,mg/kg,,True,2.0,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Alifater_C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Alifater_C12-C35_sum,Sum alifater >C12-C35 (M1),40.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Alifater_C5-C35_sum,Sum alifater >C5-C35 (M1),40.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Benzene,Benzen,0.017,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Ethylbenzene,Etylbensen,0.04,mg/kg,,True,0.04,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,BTEX_sum,Sum BTEX (M1),0.1,mg/kg,,True,0.1,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Toluene,Toluen,0.04,mg/kg,,True,0.04,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Xylenes,Xylener,0.04,mg/kg,,True,0.04,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PCB101,PCB 101,0.001,mg/kg,,True,0.001,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PCB118,PCB 118,0.001,mg/kg,,True,0.001,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PCB138,PCB 138,0.001,mg/kg,,True,0.001,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PCB153,PCB 153,0.001,mg/kg,,True,0.001,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PCB180,PCB 180,0.001,mg/kg,,True,0.001,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PCB28,PCB 28,0.001,mg/kg,,True,0.001,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PCB52,PCB 52,0.001,mg/kg,,True,0.001,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PCB7,Sum PCB-7,0.007,mg/kg,,True,0.007,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Acenaphthene,Acenaften,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Acenaphthylene,Acenaftylen,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Anthracene,Antracen,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,BaA,Benso(a)antracen^,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,BbjF,Benso(b+j)fluoranten^,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,BghiP,Benso(ghi)perylen,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,BkF,Benso(k)fluoranten^,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,DahA,Dibenso(ah)antracen^,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Phenanthrene,Fenantren,0.01,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Fluoranthene,Fluoranten,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Fluorene,Fluoren,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,IcdP,Indeno(123cd)pyren^,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Chrysene,Krysen^,0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Naphthalene,Naftalen,0.052,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Pyrene,Pyren,0.01,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,PAH16,Sum PAH-16,0.16,mg/kg,,True,0.16,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,As,As (Arsen),12.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Cd,Cd (Kadmium),0.02,mg/kg,,True,0.02,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Cr,Cr (Krom),99.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Cu,Cu (Kopper),43.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Hg,Hg (Kvikksølv),0.01,mg/kg,,True,0.01,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Ni,Ni (Nikkel),140.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Pb,Pb (Bly),17.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-05m,Zn,Zn (Sink),73.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-15-2m,Alifater_C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse
p02-Bunnrensk-Høviktoppen-c-15-2m,Alifater_C12-C16,Alifater >C12-C16,5.0,mg/kg,,True,5.0,totalanalyse
p02-Bunnrensk-Høviktoppen-c-15-2m,Alifater_C16-C35,Alifater >C16-C35,30.0,mg/kg,,False,,totalanalyse
p02-Bunnrensk-Høviktoppen-c-15-2m,Alifater_C5-C6,Alifater >C5-C6,2.5,mg/kg,,True,2.5,totalanalyse
